date,slight,serious,total_vehicle_num,most_collision
2018-03-20T01:00Z,75,9,222908,lambeth collision
2018-03-21T01:00Z,87,13,227335,tower hamlets collision
2018-03-22T01:00Z,56,6,21634,barnet collision
2018-03-23T01:00Z,76,9,217247,lambeth collision
2018-03-24T01:00Z,81,9,138680,ealing collision
2018-03-25T01:00Z,58,10,457582,ealing collision
2018-03-26T01:00Z,68,7,437660,islington collision
2018-03-27T01:00Z,65,10,581816,hackney collision
2018-03-28T01:00Z,57,13,304660,barnet collision
2018-03-29T01:00Z,91,8,263793,lambeth collision
2018-03-30T01:00Z,56,6,910609,haringey collision
2018-03-31T01:00Z,49,10,150891,ealing collision
2018-04-01T01:00Z,48,5,783509,hillingdon collision
2018-04-02T01:00Z,39,7,412628,bromley collision
2018-04-03T01:00Z,51,6,228130,barking and dagenham collision
2018-04-04T01:00Z,34,4,191316,croydon collision
2018-04-05T01:00Z,83,19,18535,ealing collision
2018-04-06T01:00Z,66,6,49232,lewisham collision
2018-04-07T01:00Z,73,10,573003,southwark collision
2018-04-08T01:00Z,64,6,182107,enfield collision
2018-04-09T01:00Z,57,6,239281,brent collision
2018-04-10T01:00Z,56,5,792215,richmond upon thames collision
2018-04-11T01:00Z,62,17,27130,camden collision
2018-04-12T01:00Z,59,8,530875,enfield collision
2018-04-13T01:00Z,64,11,172685,islington collision
2018-04-14T01:00Z,71,10,273020,southwark collision
2018-04-15T01:00Z,55,8,587196,barnet collision
2018-04-16T01:00Z,70,5,115921,croydon collision
2018-04-17T01:00Z,63,11,349270,lewisham collision
2018-04-18T01:00Z,98,22,427217,redbridge collision
2018-04-19T01:00Z,81,16,453773,waltham forest collision
2018-04-20T01:00Z,78,11,403292,barking and dagenham collision
2018-04-21T01:00Z,115,18,22791,newham collision
2018-04-22T01:00Z,58,5,183024,enfield collision
2018-04-23T01:00Z,79,15,6879,hounslow collision
2018-04-24T01:00Z,78,12,268213,havering collision
2018-04-25T01:00Z,85,14,329913,lambeth collision
2018-04-26T01:00Z,71,15,321241,southwark collision
2018-04-27T01:00Z,97,13,227325,ealing collision
2018-04-28T01:00Z,79,17,284759,barking and dagenham collision
2018-04-29T01:00Z,50,3,54900,lewisham collision
2018-04-30T01:00Z,66,4,342100,lewisham collision
2018-05-01T01:00Z,74,14,75608,haringey collision
2018-05-02T01:00Z,94,10,78304,barking and dagenham collision
2018-05-03T01:00Z,88,14,286182,lambeth collision
2018-05-04T01:00Z,97,14,261368,hackney collision
2018-05-05T01:00Z,61,13,717027,lambeth collision
2018-05-06T01:00Z,54,12,8775,islington collision
2018-05-07T01:00Z,71,10,44599,islington collision
2018-05-08T01:00Z,100,16,13391,southwark collision
2018-05-09T01:00Z,77,12,140598,camden collision
2018-05-10T01:00Z,77,13,153710,hounslow collision
2018-05-11T01:00Z,82,7,437275,enfield collision
2018-05-12T01:00Z,98,10,114370,wandsworth collision
2018-05-13T01:00Z,65,5,16716,hammersmith and fulham collision
2018-05-14T01:00Z,80,8,274854,ealing collision
2018-05-15T01:00Z,74,16,128916,southwark collision
2018-05-16T01:00Z,81,10,134500,kingston upon thames collision
2018-05-17T01:00Z,98,12,63200,barnet collision
2018-05-18T01:00Z,85,17,20310,barking and dagenham collision
2018-05-19T01:00Z,89,17,3941,barking and dagenham collision
2018-05-20T01:00Z,59,13,76514,ealing collision
2018-05-21T01:00Z,67,12,6457,croydon collision
2018-05-22T01:00Z,81,15,128995,tower hamlets collision
2018-05-23T01:00Z,88,11,32238,lambeth collision
2018-05-24T01:00Z,52,12,92745,camden collision
2018-05-25T01:00Z,103,20,628645,barking and dagenham collision
2018-05-26T01:00Z,78,11,20539,merton collision
2018-05-27T01:00Z,75,2,67054,havering collision
2018-05-28T01:00Z,53,9,456144,hillingdon collision
2018-05-29T01:00Z,91,10,406010,barnet collision
